,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116804509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804510,0,0,0,4,20,3,0,0,0,0,0,0,0,0,0
LOC116804511,3,6,13,9,16,10,6,0,15,6,15,10,4,9,5
LOC116804512,139,135,1051,56,194,59,71,267,132,55,97,77,28,75,37
LOC116804514,0,0,0,0,7,0,2,13,1,3,0,1,0,0,0
LOC116804515,9,14,109,8,10,8,13,23,19,7,21,15,0,3,13
LOC116804516,2,0,0,0,1,0,3,0,0,0,0,3,0,0,0
LOC116804521,3,2,16,7,37,10,5,6,12,2,16,7,9,2,7
LOC116804525,179,154,959,279,525,232,353,712,455,189,444,186,304,363,222
LOC116804527,1,0,3,0,15,4,2,7,16,0,8,2,0,1,2
LOC116804532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804533,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
LOC116804541,94,92,595,153,522,117,222,796,422,148,376,272,162,588,253
LOC116804542,69,72,334,299,454,334,266,381,296,202,391,201,1611,2375,1363
LOC116804544,0,0,0,0,2,0,2,0,5,0,1,0,0,2,0
LOC116804546,22,28,42,15,75,16,26,38,17,9,41,27,32,65,55
LOC116804549,12,17,48,4,11,1,2,0,2,0,1,0,16,34,27
LOC116804550,158,183,621,125,316,112,99,210,130,81,238,168,63,80,40
LOC116804551,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LOC116804553,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LOC116804554,8,2,7,5,0,5,13,6,16,6,14,8,2,8,0
LOC116804558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804559,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
LOC116804568,0,0,0,15,14,0,4,0,12,3,0,1,8,6,3
LOC116804569,5,5,123,12,41,17,27,75,43,10,34,22,6,1,3
LOC116804571,0,0,19,4,0,0,3,0,3,0,4,1,0,8,0
LOC116804573,10,5,18,33,7,14,21,59,27,4,30,1,19,13,9
LOC116804574,1448,867,5273,2056,3699,1233,2496,3923,2422,1525,3289,1568,567,727,335
LOC116804575,240,160,1115,1021,1871,610,227,530,272,223,454,329,91,107,61
